id,nom,description,url publique,url API,fichiers,indicateur qualité,qualité,service producteur,nombre réutilisation,tags,groups,territorial coverage,territorial coverage granularity,temporal_coverage_from,temporal_coverage_to,license,revision
65-liste-des-pays-d-origine-surs-30379652,65 - Liste des pays d’origine sûrs,Asile : Activité de l'Office français de protection des réfugiés et apatrides (OFPRA) et de la Cour nationale du droit d'asile (CNDA) (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/65-liste-des-pays-d-origine-surs-30379652,http://www.data.gouv.fr/api/3/action/package_show?id=65-liste-des-pays-d-origine-surs-30379652,"
XLS: http://static.data.gouv.fr/6a/bd2c09f584a9f3995d765c6b85d0fedc9cded009e02029764e97c1abb58b99.xls","",,,0,"",societe,Country/FR/FRANCE,,2011-03-11,2012-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T10:05:56.358124
43-arretes-prefectoraux-de-reconduite-a-la-frontiere-non-executes-30379591,43 - Arrêtés préfectoraux de reconduite à la frontière non exécutés,Immigration irrégulière : Le séjour irrégulier sur le territoire (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/43-arretes-prefectoraux-de-reconduite-a-la-frontiere-non-executes-30379591,http://www.data.gouv.fr/api/3/action/package_show?id=43-arretes-prefectoraux-de-reconduite-a-la-frontiere-non-executes-30379591,"
XLS: http://static.data.gouv.fr/30/f9a523cad348ab2bde35ac6bf1db6163de9a0ca35901f1743d1a1fdfb3cc11.xls","",,,0,"",societe,Country/FR/FRANCE,,2006-01-01,2011-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T10:00:51.909415
72-structure-de-la-population-hebergee-en-cada-30379567,72 - Structure de la population hébergée en CADA,Asile : L'accueil et l'hébergement des demandeurs d'asile et des réfugiés (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/72-structure-de-la-population-hebergee-en-cada-30379567,http://www.data.gouv.fr/api/3/action/package_show?id=72-structure-de-la-population-hebergee-en-cada-30379567,"
XLS: http://static.data.gouv.fr/54/8b70051f59c3db60a481a94367e8dd24431ab9692184060548e38f908f71c1.xls","",,,0,"",societe,Country/FR/FRANCE,,2011-01-01,2012-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:53:53.221404
39-aide-a-l-entree-irreguliere-a-la-circulation-et-au-sejour-irregulier-des-etrangers-evolu-30379602,"39 - Aide à l’entrée irrégulière, à la circulation et au séjour irrégulier des étrangers – Évolution de l’action des services – index 70",Immigration irrégulière : Le séjour irrégulier sur le territoire (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/39-aide-a-l-entree-irreguliere-a-la-circulation-et-au-sejour-irregulier-des-etrangers-evolu-30379602,http://www.data.gouv.fr/api/3/action/package_show?id=39-aide-a-l-entree-irreguliere-a-la-circulation-et-au-sejour-irregulier-des-etrangers-evolu-30379602,"
XLS: http://static.data.gouv.fr/f1/9ac86e3f77cec3ee597d4143bfa545cd7750b3e97954f6729d5d8b95486a7b.xls","",,,0,"",societe,Country/FR/FRANCE,,2009-01-01,2011-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:50:20.918239
42-entrees-irregulieres-enregistrees-dans-agdref-pour-les-premiers-titres-delivres-30379656,42 - Entrées irrégulières enregistrées dans agdref pour les premiers titres délivrés,Immigration irrégulière : Le séjour irrégulier sur le territoire (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/42-entrees-irregulieres-enregistrees-dans-agdref-pour-les-premiers-titres-delivres-30379656,http://www.data.gouv.fr/api/3/action/package_show?id=42-entrees-irregulieres-enregistrees-dans-agdref-pour-les-premiers-titres-delivres-30379656,"
XLS: http://static.data.gouv.fr/9e/5ad97396a596b7cb55407d40a318dcca8f7dbe7d4bb302176543f710ea4e31.xls","",,,0,"",societe,Country/FR/FRANCE,,2006-01-01,2011-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:59:48.176742
76-repartition-des-signataires-du-cai-suivant-leur-situation-30379515,76 - Répartition des signataires du CAI suivant leur situation,Intégration et l’acquisition de la nationalité française : Accueil et premiers pas dans la société française : le contrat d'accueil et d'intégration (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/76-repartition-des-signataires-du-cai-suivant-leur-situation-30379515,http://www.data.gouv.fr/api/3/action/package_show?id=76-repartition-des-signataires-du-cai-suivant-leur-situation-30379515,"
XLS: http://static.data.gouv.fr/10/69ad5cae3c32b2d2268728b697a6f645dce356496751155aab5608eee07936.xls","",,,0,"",societe,Country/FR/FRANCE,,2011-01-01,2012-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:44:55.814830
86-stock-de-dossiers-551542,86 - Stock de dossiers,Intégration et l’acquisition de la nationalité française : acquisition de la nationalité française (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/86-stock-de-dossiers-551542,http://www.data.gouv.fr/api/3/action/package_show?id=86-stock-de-dossiers-551542,"
XLS: http://static.data.gouv.fr/91/56114dd1c293032387839ef84ed292843d1c7c60f3acafb25cdf764c8dc6a7.xls","",,,0,"",societe,Country/FR/FRANCE,,2009-01-01,2011-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T10:04:26.733060
69-flux-dublin-entre-la-france-et-les-etats-membres-au-titre-de-la-mise-en-oeuvre-du-reglem-30379685,69 - Flux Dublin entre la France et les États membres au titre de la mise en œuvre du règlement de Dublin,Asile : Mise en oeuvre du règlement de Dublin par la France (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/69-flux-dublin-entre-la-france-et-les-etats-membres-au-titre-de-la-mise-en-oeuvre-du-reglem-30379685,http://www.data.gouv.fr/api/3/action/package_show?id=69-flux-dublin-entre-la-france-et-les-etats-membres-au-titre-de-la-mise-en-oeuvre-du-reglem-30379685,"
XLS: http://static.data.gouv.fr/a5/dabd7ff5430ac0002b89b47ce4d04db46eff544ce00376c0ea68ea2a2b99d4.xls","",,,0,"",societe,InternationalOrganization/UE/UNION EUROPEENNE,,2010-01-01,2011-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:53:56.070512
94-repartition-des-secteurs-d-activite-sur-l-ensemble-des-pays-30379437,94 - Répartition des secteurs d’activité sur l’ensemble des pays,Développement solidaire : Présentation stratégique du projet annuel de performances (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/94-repartition-des-secteurs-d-activite-sur-l-ensemble-des-pays-30379437,http://www.data.gouv.fr/api/3/action/package_show?id=94-repartition-des-secteurs-d-activite-sur-l-ensemble-des-pays-30379437,"
XLS: http://static.data.gouv.fr/8b/f39f1d1cd578a5a77e916f443a2b3465efd632defbb4e73ab12c48773587f7.xls","",,,0,"",societe,Country/FR/FRANCE,,2011-01-01,2012-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:48:56.874098
08-visas-delivres-pour-l-etablissement-professionnel-551505,08 - Visas délivrés pour l’établissement professionnel,Politique de délivrance des visas : Evolution de la demande et de la délivrance de visas (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/08-visas-delivres-pour-l-etablissement-professionnel-551505,http://www.data.gouv.fr/api/3/action/package_show?id=08-visas-delivres-pour-l-etablissement-professionnel-551505,"
XLS: http://static.data.gouv.fr/a8/9a4ca588364437103a4f5de5d0af6281594a1a018222853eb9b032362a452e.xls","",,,0,"",societe,MetropoleOfCountry/FR/FRANCE METROPOLITAINE,,2006-01-01,2011-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T10:00:44.006234
